Control1,Program,Date,Year,Month,Day,Location,Grid,Secchi Depth (cm)
8828,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,YO72,
8829,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,YO71,
8830,Pamlico Sound Survey(APES),6/15/2000,2000,6,15,E. OF BLUFF TO LONG SH./RODAN.,YV57,
8831,Pamlico Sound Survey(APES),6/15/2000,2000,6,15,E. OF BLUFF TO LONG SH./RODAN.,YS54,
8832,Pamlico Sound Survey(APES),6/15/2000,2000,6,15,E. OF BLUFF TO LONG SH./RODAN.,YQ53,
8833,Pamlico Sound Survey(APES),6/15/2000,2000,6,15,MIDDELTON ANCHORAGE,YO52,
8834,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,E. OF BLUFF TO LONG SH./RODAN.,YL58,
8835,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,E. OF BLUFF TO LONG SH./RODAN.,YN66,
8836,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,E. OF BLUFF TO LONG SH./RODAN.,YS70,
8837,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,E. OF BLUFF TO LONG SH./RODAN.,YR67,
8838,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,E. OF BLUFF TO LONG SH./RODAN.,YN71,
8839,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,PINGLETON SHOAL,YK78,
8840,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,LONG SH./RODAN. TO ROAN.MAR.LT.,YI77,
8841,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,LONG SH./RODAN. TO ROAN.MAR.LT.,YH78,
8842,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,LONG SH./RODAN. TO ROAN.MAR.LT.,YE75,
8843,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,LONG SH./RODAN. TO ROAN.MAR.LT.,V70,
8844,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,LONG SH./RODAN. TO ROAN.MAR.LT.,YA68,
8845,Pamlico Sound Survey(APES),6/14/2000,2000,6,14,LONG SH./RODAN. TO ROAN.MAR.LT.,YH66,
10554,Pamlico Sound Survey(APES),9/11/2000,2000,9,11,MOUTH TO CHERRY PT/WILKINSON PT.,ZR8,
10555,Pamlico Sound Survey(APES),9/11/2000,2000,9,11,GARBACON SHOAL,ZR11,
10556,Pamlico Sound Survey(APES),9/11/2000,2000,9,11,MOUTH TO CHERRY PT/WILKINSON PT.,ZN16,
10557,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,POINT OF MARSH,ZN21,
10558,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,POINT OF MARSH,ZM21,
10559,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,WEST OF BLUFF SHOAL,ZJ23,
10560,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,WEST OF BLUFF SHOAL,ZH23,
10561,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,WEST OF BLUFF SHOAL,ZK34,
10562,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,WEST OF BLUFF SHOAL,ZL35,
10563,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,WEST OF BLUFF SHOAL,ZM37,
10564,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,WEST OF BLUFF SHOAL,ZO37,
10565,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,WEST OF BLUFF SHOAL,ZE43,
10566,Pamlico Sound Survey(APES),9/12/2000,2000,9,12,BLUFF SHOAL,ZF46,
10567,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,E. OF BLUFF TO LONG SH./RODAN.,ZD54,
10568,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,E. OF BLUFF TO LONG SH./RODAN.,ZC63,
10569,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,E. OF BLUFF TO LONG SH./RODAN.,ZC65,
10570,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,E. OF BLUFF TO LONG SH./RODAN.,ZA62,
10571,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,CLAM SHOAL,YY71,
10572,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,E. OF BLUFF TO LONG SH./RODAN.,YV73,
10573,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,GULL ISLAND,YP78,
10574,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,E. OF BLUFF TO LONG SH./RODAN.,YM76,
10575,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,E. OF BLUFF TO LONG SH./RODAN.,YK74,
10576,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,Z71,
10577,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,U68,
10578,Pamlico Sound Survey(APES),9/13/2000,2000,9,13,LONG SHOAL,YJ67,
10579,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YJ60,
10580,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YK64,
10581,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YL63,
10582,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YM75,
10583,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YN70,
10584,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YP69,
10585,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YQ66,
10586,Pamlico Sound Survey(APES),9/14/2000,2000,9,14,E. OF BLUFF TO LONG SH./RODAN.,YR65,
10587,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,E. OF BLUFF TO LONG SH./RODAN.,ZA50,
10588,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,E. OF BLUFF TO LONG SH./RODAN.,YV57,
10589,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,E. OF BLUFF TO LONG SH./RODAN.,YV65,
10590,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,E. OF BLUFF TO LONG SH./RODAN.,YR63,
10591,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,MIDDELTON ANCHORAGE,YO53,
10592,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,E. OF BLUFF TO LONG SH./RODAN.,YR55,
10593,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,E. OF BLUFF TO LONG SH./RODAN.,YX48,
10594,Pamlico Sound Survey(APES),9/18/2000,2000,9,18,GUM PT./GARRISON PT. TO MOUTH,YU20,
10595,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,UPSTREAM DRNT/PUNGO PT,YL14,
10596,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,UPSTREAM DRNT/PUNGO PT,YL15,
10597,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,DRNT/PNGO PT-SNDY/OFLD,YN15,
10598,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,GUM PT./GARRISON PT. TO MOUTH,YU13,
10599,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,MAULS PT/RGGD PT-GUM PT/GRRSN PT,YQ1,
10600,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,GUM PT./GARRISON PT. TO MOUTH,YS9,
10601,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,GUM PT./GARRISON PT. TO MOUTH,YW18,
10602,Pamlico Sound Survey(APES),9/19/2000,2000,9,19,GREAT ISLAND,YX32,
10603,Pamlico Sound Survey(APES),9/20/2000,2000,9,20,WEST OF BLUFF SHOAL,YX38,
10604,Pamlico Sound Survey(APES),9/20/2000,2000,9,20,WEST OF BLUFF SHOAL,YZ40,
10612,Pamlico Sound Survey(APES),9/20/2000,2000,9,20,WEST OF BLUFF SHOAL,ZA39,
10613,Pamlico Sound Survey(APES),9/20/2000,2000,9,20,WEST OF BLUFF SHOAL,ZC40,
108249,Pamlico Sound Survey(APES),6/4/2001,2001,6,4,CHERRY PT/WILK. PT TO NEW BERN,ZP81,
108250,Pamlico Sound Survey(APES),6/4/2001,2001,6,4,MOUTH TO CHERRY PT/WILKINSON PT.,ZV5,
108251,Pamlico Sound Survey(APES),6/4/2001,2001,6,4,MOUTH TO CHERRY PT/WILKINSON PT.,ZR9,
108252,Pamlico Sound Survey(APES),6/4/2001,2001,6,4,MOUTH TO CHERRY PT/WILKINSON PT.,ZR10,
108253,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,MOUTH TO CHERRY PT/WILKINSON PT.,ZN16,
108254,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,WEST OF BLUFF SHOAL,ZK19,
108255,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,WEST OF BLUFF SHOAL,ZJ30,
108256,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,WEST OF BLUFF SHOAL,ZJ33,
108257,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,WEST OF BLUFF SHOAL,ZJ34,
108258,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,WEST OF BLUFF SHOAL,ZP34,
108259,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,WEST OF BLUFF SHOAL,ZO38,
108260,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,WEST OF BLUFF SHOAL,ZO37,
108261,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,ROYAL SHOAL,ZH41,
108262,Pamlico Sound Survey(APES),6/5/2001,2001,6,5,E. OF BLUFF TO LONG SH./RODAN.,ZD45,
108263,Pamlico Sound Survey(APES),6/6/2001,2001,6,6,E. OF BLUFF TO LONG SH./RODAN.,ZD57,
108264,Pamlico Sound Survey(APES),6/6/2001,2001,6,6,E. OF BLUFF TO LONG SH./RODAN.,ZD59,
108265,Pamlico Sound Survey(APES),6/6/2001,2001,6,6,E. OF BLUFF TO LONG SH./RODAN.,ZC61,
108266,Pamlico Sound Survey(APES),6/6/2001,2001,6,6,E. OF BLUFF TO LONG SH./RODAN.,YX61,
108267,Pamlico Sound Survey(APES),6/6/2001,2001,6,6,E. OF BLUFF TO LONG SH./RODAN.,YZ65,
108268,Pamlico Sound Survey(APES),6/6/2001,2001,6,6,E. OF BLUFF TO LONG SH./RODAN.,YX67,
108269,Pamlico Sound Survey(APES),6/6/2001,2001,6,6,E. OF BLUFF TO LONG SH./RODAN.,ZA51,
108270,Pamlico Sound Survey(APES),6/7/2001,2001,6,7,WEST OF BLUFF SHOAL,ZC41,
108271,Pamlico Sound Survey(APES),6/7/2001,2001,6,7,GREAT ISLAND,YZ35,
108272,Pamlico Sound Survey(APES),6/7/2001,2001,6,7,GREAT ISLAND,YZ34,
108273,Pamlico Sound Survey(APES),6/7/2001,2001,6,7,WEST OF BLUFF SHOAL,ZC28,
108274,Pamlico Sound Survey(APES),6/7/2001,2001,6,7,BRANT ISLAND SHOAL,ZE28,
108275,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YO61,
108276,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YM61,
108277,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YJ60,
108278,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YJ64,
108279,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YK66,
108280,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YO69,
108281,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YP70,
108282,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YL78,
108283,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YR78,
108284,Pamlico Sound Survey(APES),6/12/2001,2001,6,12,E. OF BLUFF TO LONG SH./RODAN.,YS73,
108285,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,V70,
108286,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,W68,
108287,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,Y69,
108288,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YC68,
108289,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YE69,
108290,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YG71,
108291,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YG77,
108292,Pamlico Sound Survey(APES),6/13/2001,2001,6,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YH77,
108293,Pamlico Sound Survey(APES),6/18/2001,2001,6,18,E. OF BLUFF TO LONG SH./RODAN.,YS54,
108294,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,GUM PT./GARRISON PT. TO MOUTH,YU17,
108295,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,GUM PT./GARRISON PT. TO MOUTH,YT6,
108296,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,MAULS PT/RGGD PT-GUM PT/GRRSN PT,YQ1,
108297,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,SNDY PT/O.FLD.PT-MOUTH,YT18,
108298,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,DRNT/PNGO PT-SNDY/OFLD,YM14,
108299,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,SNDY PT/O.FLD.PT-MOUTH,YQ16,
108300,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,GUM PT./GARRISON PT. TO MOUTH,YW22,
108301,Pamlico Sound Survey(APES),6/19/2001,2001,6,19,GUM PT./GARRISON PT. TO MOUTH,YU15,
111921,Pamlico Sound Survey(APES),9/10/2001,2001,9,10,MOUTH TO CHERRY PT/WILKINSON PT.,ZT4,
111922,Pamlico Sound Survey(APES),9/10/2001,2001,9,10,MOUTH TO CHERRY PT/WILKINSON PT.,ZS5,
111923,Pamlico Sound Survey(APES),9/10/2001,2001,9,10,MOUTH TO CHERRY PT/WILKINSON PT.,ZS7,
111924,Pamlico Sound Survey(APES),9/10/2001,2001,9,10,MOUTH TO CHERRY PT/WILKINSON PT.,ZM18,
111925,Pamlico Sound Survey(APES),9/10/2001,2001,9,10,MOUTH TO CHERRY PT/WILKINSON PT.,ZN19,
111926,Pamlico Sound Survey(APES),9/11/2001,2001,9,11,WEST OF BLUFF SHOAL,ZI20,
111927,Pamlico Sound Survey(APES),9/11/2001,2001,9,11,WEST OF BLUFF SHOAL,ZN33,
111928,Pamlico Sound Survey(APES),9/11/2001,2001,9,11,WEST OF BLUFF SHOAL,ZN35,
111929,Pamlico Sound Survey(APES),9/11/2001,2001,9,11,WEST OF BLUFF SHOAL,ZQ35,
111930,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,ZD59,
111931,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,ZC62,
111932,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,ZB61,
111933,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,YZ65,
111934,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,YY67,
111935,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,CLAM SHOAL,YY69,
111936,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,YV75,
111937,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,YT71,
111938,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,YN66,
111939,Pamlico Sound Survey(APES),9/12/2001,2001,9,12,E. OF BLUFF TO LONG SH./RODAN.,YL67,
111940,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,E. OF BLUFF TO LONG SH./RODAN.,YM75,
111941,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,E. OF BLUFF TO LONG SH./RODAN.,YJ76,
111942,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YC75,
111943,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,Z71,
111944,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,W67,
111945,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,X68,
111946,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YB68,
111947,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YE68,
111948,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YF70,
111949,Pamlico Sound Survey(APES),9/13/2001,2001,9,13,LONG SH./RODAN. TO ROAN.MAR.LT.,YH72,
111950,Pamlico Sound Survey(APES),9/17/2001,2001,9,17,BLUFF SHOAL,ZG45,
111951,Pamlico Sound Survey(APES),9/17/2001,2001,9,17,WEST OF BLUFF SHOAL,ZG44,
111952,Pamlico Sound Survey(APES),9/17/2001,2001,9,17,E. OF BLUFF TO LONG SH./RODAN.,ZA57,
111953,Pamlico Sound Survey(APES),9/17/2001,2001,9,17,E. OF BLUFF TO LONG SH./RODAN.,YW59,
111954,Pamlico Sound Survey(APES),9/17/2001,2001,9,17,E. OF BLUFF TO LONG SH./RODAN.,YV56,
111955,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,E. OF BLUFF TO LONG SH./RODAN.,YJ60,
111956,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,E. OF BLUFF TO LONG SH./RODAN.,YK64,
111957,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,E. OF BLUFF TO LONG SH./RODAN.,YR61,
111958,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,WEST OF BLUFF SHOAL,ZA44,
111959,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,WEST OF BLUFF SHOAL,ZE36,
111960,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,GREAT ISLAND,YZ35,
111961,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,WEST OF BLUFF SHOAL,YY37,
111962,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,JUNIPER BAY,YW36,
111963,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,SWANQUARTER BAY,YW32,
111964,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,WEST OF BLUFF SHOAL,YY29,
111965,Pamlico Sound Survey(APES),9/18/2001,2001,9,18,WEST OF BLUFF SHOAL,YU24,
111966,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,GUM PT./GARRISON PT. TO MOUTH,YW20,
111967,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,SNDY PT/O.FLD.PT-MOUTH,YT18,
111968,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,UPSTREAM DRNT/PUNGO PT,YL15,
111969,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,SNDY PT/O.FLD.PT-MOUTH,YR16,
111970,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,GUM PT./GARRISON PT. TO MOUTH,YU15,
111971,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,GUM PT./GARRISON PT. TO MOUTH,YS10,
111972,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,GUM PT./GARRISON PT. TO MOUTH,YS6,
111973,Pamlico Sound Survey(APES),9/19/2001,2001,9,19,MAULS PT/RGGD PT-GUM PT/GRRSN PT,YQ89,
204987,Pamlico Sound Survey(APES),6/19/2002,2002,6,19,MAULS PT/RGGD PT-GUM PT/GRRSN PT,YQ89,
204988,Pamlico Sound Survey(APES),6/19/2002,2002,6,19,WEST OF BLUFF SHOAL,YZ36,
204989,Pamlico Sound Survey(APES),6/19/2002,2002,6,19,UPSTREAM OF MAULS PT/RAGGED PT,YP82,
204990,Pamlico Sound Survey(APES),6/19/2002,2002,6,19,GUM PT./GARRISON PT. TO MOUTH,YV15,
204991,Pamlico Sound Survey(APES),6/19/2002,2002,6,19,GUM PT./GARRISON PT. TO MOUTH,YT4,
204992,Pamlico Sound Survey(APES),6/20/2002,2002,6,20,UPSTREAM DRNT/PUNGO PT,YL14,
204993,Pamlico Sound Survey(APES),6/20/2002,2002,6,20,UPSTREAM DRNT/PUNGO PT,YL19,
204994,Pamlico Sound Survey(APES),6/20/2002,2002,6,20,UPSTREAM DRNT/PUNGO PT,YL20,
204995,Pamlico Sound Survey(APES),6/17/2002,2002,6,17,E. OF BLUFF TO LONG SH./RODAN.,YP74,
204996,Pamlico Sound Survey(APES),6/17/2002,2002,6,17,LONG SH./RODAN. TO ROAN.MAR.LT.,YI78,
204997,Pamlico Sound Survey(APES),6/17/2002,2002,6,17,E. OF BLUFF TO LONG SH./RODAN.,YY45,
204998,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,LONG SH./RODAN. TO ROAN.MAR.LT.,YC70,
204999,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,E. OF BLUFF TO LONG SH./RODAN.,YN67,
205000,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,E. OF BLUFF TO LONG SH./RODAN.,YX45,
205001,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,LONG SH./RODAN. TO ROAN.MAR.LT.,YE69,
205002,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,LONG SH./RODAN. TO ROAN.MAR.LT.,YF71,
205003,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,OFF STUMPY POINT,YC66,
205004,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,LONG SH./RODAN. TO ROAN.MAR.LT.,Y68,
205005,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,LONG SH./RODAN. TO ROAN.MAR.LT.,YD73,
205006,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,LONG SH./RODAN. TO ROAN.MAR.LT.,Y69,
205007,Pamlico Sound Survey(APES),6/18/2002,2002,6,18,LONG SH./RODAN. TO ROAN.MAR.LT.,X71,
205008,Pamlico Sound Survey(APES),6/19/2002,2002,6,19,WEST OF BLUFF SHOAL,YX22,
205009,Pamlico Sound Survey(APES),6/19/2002,2002,6,19,GUM PT./GARRISON PT. TO MOUTH,YW22,
205010,Pamlico Sound Survey(APES),6/11/2002,2002,6,11,E. OF BLUFF TO LONG SH./RODAN.,ZG50,
205011,Pamlico Sound Survey(APES),6/12/2002,2002,6,12,E. OF BLUFF TO LONG SH./RODAN.,ZC53,
205012,Pamlico Sound Survey(APES),6/12/2002,2002,6,12,E. OF BLUFF TO LONG SH./RODAN.,YZ56,
