PROJECTNAME,PROJECTAGENCY,DATE,EVENTNAME,COLLECTIONNUMBER,VESSELNAME,GEARNAME,GEARCODE,TOWTYPETEXT,LOCATION,REGION,DEPTHZONE,STATIONCODE,EVENTTYPEDESCRIPTION,TEMPSURFACE,TEMPBOTTOM,SALINITYSURFACE,SALINITYBOTTOM,LIGHTPHASE,TIMESTART,TIMEZONE,DURATION,DEPTHSTART,DEPTHEND,PRESSURE,WINDSPEED,WINDDIRECTION,WAVEHEIGHT,TEMPAIR,PRECIPITATION,ESTIMATEDLOC,LATITUDESTART,LATITUDEEND,LONGITUDESTART,LONGITUDEEND,SDO,BDO,SEDSIZEDESC,BTMCOMPDESC,WEATHERDESC,WATERLVLDESC,ALTERATIONDESC,ACTIVITYDESC,NUMBERREP,ACCSPGRIDCODE,COMMENTS,LASTUPDATED
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008801",="000880100",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YQ86",="STRATIFIED RANDOM EVENT",23.70,23.20,4,5,="DAY",="13:12",="EDT",20,3.4000000950,3.4000000950,,10,270,,,="F",="F",35.43330002,,-76.88330078,,8.20,8.20,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008801",="000880101",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YQ86",="STRATIFIED RANDOM EVENT",23.70,23.20,4,5,="DAY",="13:12",="EDT",20,3.4000000950,3.4000000950,,10,270,,,="F",="F",35.43330002,,-76.88330078,,8.20,8.20,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008802",="000880200",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YT7",="STRATIFIED RANDOM EVENT",23.80,23.60,4.5999999050,5.5999999050,="DAY",="14:07",="EDT",20,4.3000001910,4.3000001910,,10,270,,,="F",="F",35.40000153,,-76.73329926,,8,7.40,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008802",="000880201",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YT7",="STRATIFIED RANDOM EVENT",23.80,23.60,4.5999999050,5.5999999050,="DAY",="14:07",="EDT",20,4.3000001910,4.3000001910,,10,270,,,="F",="F",35.40000153,,-76.73329926,,8,7.40,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008803",="000880300",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YS9",="STRATIFIED RANDOM EVENT",23.80,23.70,6.1999998090,6.6999998090,="DAY",="14:46",="EDT",20,4.3000001910,4.3000001910,,12,270,,,="F",="F",35.40000153,,-76.69999695,,8.10,7.60,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008803",="000880301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YS9",="STRATIFIED RANDOM EVENT",23.80,23.70,6.1999998090,6.6999998090,="DAY",="14:46",="EDT",20,4.3000001910,4.3000001910,,12,270,,,="F",="F",35.40000153,,-76.69999695,,8.10,7.60,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008804",="000880400",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YO15",="STRATIFIED RANDOM EVENT",24.10,23.60,8.8000001910,14.10000038,="DAY",="16:15",="EDT",20,3.7000000480,3.7000000480,,18,0,,,="F",="F",35.46670151,,-76.58329773,,7.90,7.50,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008804",="000880401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YO15",="STRATIFIED RANDOM EVENT",24.10,23.60,8.8000001910,14.10000038,="DAY",="16:15",="EDT",20,3.7000000480,3.7000000480,,18,0,,,="F",="F",35.46670151,,-76.58329773,,7.90,7.50,,,="CLEAR SKIES",,,,="02",="635-0052-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008805",="000880500",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YR17",="STRATIFIED RANDOM EVENT",22.50,22.30,10.10000038,11.10000038,="DAY",="08:04",="EDT",20,4.9000000950,4.9000000950,,18,0,,,="F",="F",35.43330002,,-76.56670380,,7.20,6.70,,,="25% COVER",,,,="02",="635-0052-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008805",="000880501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YR17",="STRATIFIED RANDOM EVENT",22.50,22.30,10.10000038,11.10000038,="DAY",="08:04",="EDT",20,4.9000000950,4.9000000950,,18,0,,,="F",="F",35.43330002,,-76.56670380,,7.20,6.70,,,="25% COVER",,,,="02",="635-0052-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008806",="000880601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PUNGO RIVER",="NORTH CAROLINA",,="YS17",="STRATIFIED RANDOM EVENT",22.20,22.30,10.89999962,11.80000019,="DAY",="08:31",="EDT",20,4.9000000950,4.9000000950,,,,,,="F",="F",35.41669846,,-76.55000305,,6.80,6.30,,,,,,,="01",="635-0052-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008807",="000880700",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YV21",="STRATIFIED RANDOM EVENT",22.40,22.60,12.30000019,13,="DAY",="09:25",="EDT",20,5.8000001910,5.8000001910,,12,270,,,="F",="F",35.36669922,,-76.50,,7.10,7.30,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008807",="000880701",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YV21",="STRATIFIED RANDOM EVENT",22.40,22.60,12.30000019,13,="DAY",="09:25",="EDT",20,5.8000001910,5.8000001910,,12,270,,,="F",="F",35.36669922,,-76.50,,7.10,7.30,,,="100% COVER",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008808",="000880800",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YW18",="STRATIFIED RANDOM EVENT",22.60,22.70,14.19999981,13.10000038,="DAY",="10:02",="EDT",20,4.5999999050,4.5999999050,,18,0,,,="F",="F",35.34999847,,-76.53330231,,7.10,7.50,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008808",="000880801",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO RIVER",="NORTH CAROLINA",,="YW18",="STRATIFIED RANDOM EVENT",22.60,22.70,14.19999981,13.10000038,="DAY",="10:02",="EDT",20,4.5999999050,4.5999999050,,18,0,,,="F",="F",35.34999847,,-76.53330231,,7.10,7.50,,,="CLEAR SKIES",,,,="02",="635-0033-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008809",="000880900",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YX35",="STRATIFIED RANDOM EVENT",22.70,22.50,16.29999924,16.79999924,="DAY",="12:23",="EDT",20,3.0999999050,3.0999999050,,18,0,,,="F",="F",35.31669998,,-76.25,,7.20,6.90,,,="50% COVER",,,,="02",="635-0034-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008809",="000880901",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YX35",="STRATIFIED RANDOM EVENT",22.70,22.50,16.29999924,16.79999924,="DAY",="12:23",="EDT",20,3.0999999050,3.0999999050,,18,0,,,="F",="F",35.31669998,,-76.25,,7.20,6.90,,,="50% COVER",,,,="02",="635-0034-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008810",="000881000",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YX37",="STRATIFIED RANDOM EVENT",22.60,22.70,17.10000038,18,="DAY",="13:03",="EDT",20,3.0999999050,3.0999999050,,18,0,,,="F",="F",35.33330154,,-76.23329926,,7.20,6.80,,,="50% COVER",,,,="02",="635-0034-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008810",="000881001",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YX37",="STRATIFIED RANDOM EVENT",22.60,22.70,17.10000038,18,="DAY",="13:03",="EDT",20,3.0999999050,3.0999999050,,18,0,,,="F",="F",35.33330154,,-76.23329926,,7.20,6.80,,,="50% COVER",,,,="02",="635-0034-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008811",="000881101",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZA35",="STRATIFIED RANDOM EVENT",22.90,22.60,17.29999924,18.79999924,="DAY",="13:40",="EDT",20,4.3000001910,4.3000001910,,15,0,,,="F",="F",35.28329849,,-76.26670074,,7.20,6.70,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-07-2000,="0008812",="000881201",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="ZC33",="STRATIFIED RANDOM EVENT",23,22.70,18.39999962,19,="DAY",="14:20",="EDT",20,2.7000000480,2.7000000480,,7,45,,,="F",="F",35.25,,-76.28330231,,7.30,6.70,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008813",="000881301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="ZO40",="STRATIFIED RANDOM EVENT",22.70,22.60,20,20,="DAY",="08:06",="EDT",20,2.7000000480,2.7000000480,,0,,,,="F",="F",35.03329849,,-76.18329620,,7.70,6.80,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008814",="000881401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZK36",="STRATIFIED RANDOM EVENT",22.70,22.30,19.89999962,20,="DAY",="08:58",="EDT",20,6.0999999050,6.0999999050,,0,,,,="F",="F",35.09999847,,-76.23329926,,6.90,6.50,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008815",="000881500",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZJ35",="STRATIFIED RANDOM EVENT",23.10,22.20,20.10000038,20.10000038,="DAY",="09:30",="EDT",20,6.0999999050,6.0999999050,,0,,,,="F",="F",35.11669922,,-76.25,,7,6.60,,,="CLEAR SKIES",,,,="02",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008815",="000881501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZJ35",="STRATIFIED RANDOM EVENT",23.10,22.20,20.10000038,20.10000038,="DAY",="09:30",="EDT",20,6.0999999050,6.0999999050,,0,,,,="F",="F",35.11669922,,-76.25,,7,6.60,,,="CLEAR SKIES",,,,="02",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008816",="000881601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="ZC36",="STRATIFIED RANDOM EVENT",23.10,22.20,19.60000038,19.79999924,="DAY",="10:30",="EDT",20,3.4000000950,3.4000000950,,0,,,,="F",="F",35.23329926,,-76.23329926,,7.20,6.10,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008817",="000881701",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZA38",="STRATIFIED RANDOM EVENT",23.60,22.30,19,19.20000076,="DAY",="11:12",="EDT",20,4.5999999050,4.5999999050,,0,,,,="F",="F",35.26670074,,-76.21669769,,7.50,6.70,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008818",="000881801",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YY50",="STRATIFIED RANDOM EVENT",25,22.70,18.39999962,19.29999924,="DAY",="12:21",="EDT",20,5.8000001910,5.8000001910,,0,,,,="F",="F",35.31669998,,-76,,7.50,7.50,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-08-2000,="0008819",="000881901",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZG41",="STRATIFIED RANDOM EVENT",24.60,22.70,19.70000076,19.70000076,="DAY",="13:46",="EDT",20,6.0999999050,6.0999999050,,0,,,,="F",="F",35.16669846,,-76.15000153,,7.70,6.70,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-13-2000,="0008820",="000882001",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZG45",="STRATIFIED RANDOM EVENT",24.70,19.80,24.60000038,24.70000076,="DAY",="07:00",="EDT",20,4.3000001910,4.3000001910,,20,225,,,="F",="F",35.18330002,,-76.08329773,,6.50,6.80,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-13-2000,="0008821",="000882101",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZD56",="STRATIFIED RANDOM EVENT",24.70,24.70,24.60000038,19.79999924,="DAY",="08:20",="EDT",20,5.50,5.50,,15,225,,,="F",="F",35.21670151,,-75.91670227,,6.50,6.80,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-13-2000,="0008822",="000882201",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZC60",="STRATIFIED RANDOM EVENT",25,25,19.70000076,19.70000076,="DAY",="09:05",="EDT",20,4.3000001910,4.3000001910,,15,225,,,="F",="F",35.23329926,,-75.84999847,,6.90,6.80,,,="25% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-13-2000,="0008823",="000882301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZA63",="STRATIFIED RANDOM EVENT",24.60,24.50,18.89999962,18.89999962,="DAY",="09:45",="EDT",20,4.5999999050,4.5999999050,,15,225,,,="F",="F",35.26670074,,-75.80000305,,7.30,7.10,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-13-2000,="0008824",="000882401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YX69",="STRATIFIED RANDOM EVENT",25.20,25.10,19.50,19.50,="DAY",="10:45",="EDT",20,4.3000001910,4.3000001910,,15,225,,,="F",="F",35.33330154,,-75.69999695,,3.10,7.20,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-13-2000,="0008825",="000882501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="YV71",="STRATIFIED RANDOM EVENT",24.80,24.80,19,19,="DAY",="11:20",="EDT",20,4.9000000950,4.9000000950,,10,225,,,="F",="F",35.34999847,,-75.66670227,,7.20,7,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
="Pamlico Sound Survey",="NCDMF",06-13-2000,="0008826",="000882601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; EAST OF BLUFF SHOAL",="NORTH CAROLINA",="SHALLOW",="YS77",="STRATIFIED RANDOM EVENT",24.80,24.80,19,19,="DAY",="12:30",="EDT",20,3.7000000480,3.7000000480,,15,225,,,="F",="F",35.40000153,,-75.56670380,,,,,,="50% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:47 AM
