"","Year","gridID","Speciescommonname","Survey","mean_CPUE_stdzd"
"63",2014,538,"alewife","P915",0
"64",2014,508,"alewife","P915",0
"65",2014,509,"alewife","P915",0
"66",2015,478,"alewife","P915",0
"67",2015,446,"alewife","P915",0
"68",2015,415,"alewife","P915",0
"69",2015,569,"alewife","P915",0
"70",2001,628,"alewife","P915",0
"71",2001,447,"alewife","P915",0
"72",2001,446,"alewife","P915",0
"73",2001,569,"alewife","P915",0
"74",2001,508,"alewife","P915",0
"75",2001,598,"alewife","P915",0
"76",2001,478,"alewife","P915",0
"77",2016,478,"alewife","P915",0
"78",2016,539,"alewife","P915",0
"79",2016,509,"alewife","P915",0
"80",2016,446,"alewife","P915",0
"81",2017,477,"alewife","P915",0
"82",2017,446,"alewife","P915",0
"83",2017,447,"alewife","P915",0
"84",2017,508,"alewife","P915",0
"85",2017,509,"alewife","P915",0
"86",2018,447,"alewife","P915",0
"87",2018,569,"alewife","P915",0
"88",2019,446,"alewife","P915",0
"89",2019,447,"alewife","P915",0
"90",2019,415,"alewife","P915",0
"91",2019,508,"alewife","P915",0
"92",2019,569,"alewife","P915",0
"93",2002,477,"alewife","P915",0
"94",2002,415,"alewife","P915",0
"95",2002,599,"alewife","P915",0
"96",2002,478,"alewife","P915",0
"97",2002,538,"alewife","P915",0
"98",2002,445,"alewife","P915",0
"99",2002,508,"alewife","P915",0
"100",2002,628,"alewife","P915",0
"101",2003,508,"alewife","P915",0
"102",2003,415,"alewife","P915",0
"103",2003,447,"alewife","P915",0
"104",2003,446,"alewife","P915",0
"105",2003,628,"alewife","P915",0
"106",2003,539,"alewife","P915",0
"107",2003,658,"alewife","P915",0
"108",2003,478,"alewife","P915",0
"109",2004,414,"alewife","P915",0
"110",2004,478,"alewife","P915",0
"111",2004,598,"alewife","P915",0
"112",2004,568,"alewife","P915",0
"113",2004,447,"alewife","P915",0
"114",2004,508,"alewife","P915",0
"115",2005,628,"alewife","P915",0
"116",2005,508,"alewife","P915",0
"117",2005,569,"alewife","P915",0
"118",2005,538,"alewife","P915",0
"119",2005,446,"alewife","P915",0
"120",2005,445,"alewife","P915",0
"121",2005,447,"alewife","P915",0
"122",2005,509,"alewife","P915",0
"123",2006,477,"alewife","P915",0
"124",2006,447,"alewife","P915",0
"125",2006,568,"alewife","P915",0
"126",2006,569,"alewife","P915",0
"127",2006,628,"alewife","P915",0
"128",2006,539,"alewife","P915",0
"129",2006,478,"alewife","P915",0
"130",2007,509,"alewife","P915",0
"131",2007,598,"alewife","P915",0
"132",2007,446,"alewife","P915",0
"133",2007,477,"alewife","P915",0
"134",2007,569,"alewife","P915",0
"135",2008,509,"alewife","P915",0
"136",2008,447,"alewife","P915",0
"137",2008,478,"alewife","P915",0
"138",2008,598,"alewife","P915",0
"139",2008,628,"alewife","P915",0
"140",2008,415,"alewife","P915",0
"141",2008,569,"alewife","P915",0
"142",2009,508,"alewife","P915",0
"143",2009,598,"alewife","P915",0
"144",2009,447,"alewife","P915",0
"145",2009,569,"alewife","P915",0
"146",2009,446,"alewife","P915",0
"147",2009,628,"alewife","P915",0
"148",2009,478,"alewife","P915",0
"149",2010,538,"alewife","P915",0
"150",2011,538,"alewife","P915",0
"151",2012,568,"alewife","P915",0
"152",2013,477,"alewife","P915",0
"153",2013,446,"alewife","P915",0
"154",2015,538,"alewife","P915",0
"155",2001,568,"alewife","P915",0
"156",2016,538,"alewife","P915",0
"157",2016,508,"alewife","P915",0
"158",2018,568,"alewife","P915",0
"159",2018,477,"alewife","P915",0
"160",2002,598,"alewife","P915",0
"161",2002,657,"alewife","P915",0
"162",2003,445,"alewife","P915",0
"163",2003,568,"alewife","P915",0
"164",2004,444,"alewife","P915",0
"165",2004,569,"alewife","P915",0
"166",2006,476,"alewife","P915",0
"167",2006,538,"alewife","P915",0
"168",2007,508,"alewife","P915",0
"169",2007,568,"alewife","P915",0
"170",2007,476,"alewife","P915",0
"171",2008,477,"alewife","P915",0
"172",2018,286,"alewife","P915",0
"173",2018,321,"alewife","P915",0
"174",2018,383,"alewife","P915",0
"175",2018,288,"alewife","P915",0
"176",2018,381,"alewife","P915",0
"177",2018,352,"alewife","P915",0
"178",2019,319,"alewife","P915",0
"179",2019,285,"alewife","P915",0
"180",2019,353,"alewife","P915",0
"181",2019,321,"alewife","P915",0
"182",2019,288,"alewife","P915",0
"183",2019,351,"alewife","P915",0
"184",2010,406,"alewife","P915",0
"185",2010,377,"alewife","P915",0
"186",2010,348,"alewife","P915",0
"187",2010,376,"alewife","P915",0
"188",2010,378,"alewife","P915",0
"189",2011,378,"alewife","P915",0
"190",2011,348,"alewife","P915",0
"191",2011,377,"alewife","P915",0
"192",2011,406,"alewife","P915",0
"193",2011,376,"alewife","P915",0
"194",2011,379,"alewife","P915",0
"195",2012,347,"alewife","P915",0
"196",2012,348,"alewife","P915",0
"197",2012,406,"alewife","P915",0
"198",2012,377,"alewife","P915",0
"199",2012,379,"alewife","P915",0
"200",2012,376,"alewife","P915",0
"201",2013,377,"alewife","P915",0
"202",2013,406,"alewife","P915",0
"203",2013,379,"alewife","P915",0
"204",2013,348,"alewife","P915",0
"205",2014,377,"alewife","P915",0
"206",2014,348,"alewife","P915",0
"207",2014,406,"alewife","P915",0
"208",2014,376,"alewife","P915",0
"209",2014,379,"alewife","P915",0
"210",2015,379,"alewife","P915",0
"211",2015,348,"alewife","P915",0
"212",2015,377,"alewife","P915",0
"213",2015,406,"alewife","P915",0
"214",2015,407,"alewife","P915",0
"215",2016,379,"alewife","P915",0
"216",2016,406,"alewife","P915",0
"217",2016,376,"alewife","P915",0
"218",2016,377,"alewife","P915",0
"219",2017,379,"alewife","P915",0
"220",2017,406,"alewife","P915",0
"221",2017,407,"alewife","P915",0
"222",2017,377,"alewife","P915",0
"223",2018,378,"alewife","P915",0
"224",2018,348,"alewife","P915",0
"225",2018,376,"alewife","P915",0
"226",2018,377,"alewife","P915",0
"227",2018,406,"alewife","P915",0
"228",2019,348,"alewife","P915",0
"229",2019,379,"alewife","P915",0
"230",2019,406,"alewife","P915",0
"231",2019,407,"alewife","P915",0
"232",2019,377,"alewife","P915",0
"233",2004,406,"alewife","P915",0
"234",2004,349,"alewife","P915",0
"235",2004,347,"alewife","P915",0
"236",2004,376,"alewife","P915",0
"237",2004,379,"alewife","P915",0
"238",2005,377,"alewife","P915",0
"239",2005,406,"alewife","P915",0
"240",2005,378,"alewife","P915",0
"241",2005,379,"alewife","P915",0
"242",2005,347,"alewife","P915",0
"243",2006,379,"alewife","P915",0
"244",2006,348,"alewife","P915",0
"245",2006,376,"alewife","P915",0
"246",2006,406,"alewife","P915",0
"247",2007,376,"alewife","P915",0
"248",2007,378,"alewife","P915",0
"249",2007,377,"alewife","P915",0
"250",2007,406,"alewife","P915",0
"251",2008,378,"alewife","P915",0
"252",2008,377,"alewife","P915",0
"253",2008,406,"alewife","P915",0
"254",2008,348,"alewife","P915",0
"255",2009,348,"alewife","P915",0
"256",2009,347,"alewife","P915",0
"257",2009,377,"alewife","P915",0
"258",2009,379,"alewife","P915",0
"259",2009,406,"alewife","P915",0
"260",2010,407,"alewife","P915",0
"261",2015,347,"alewife","P915",0
"262",2004,377,"alewife","P915",0
"263",2004,378,"alewife","P915",0
"264",2010,253,"alewife","P915",0
"265",2010,283,"alewife","P915",0
"266",2011,283,"alewife","P915",0
"267",2011,253,"alewife","P915",0
"268",2012,253,"alewife","P915",0
"269",2012,283,"alewife","P915",0
"270",2013,283,"alewife","P915",0
"271",2013,253,"alewife","P915",0
"272",2014,283,"alewife","P915",0
"273",2014,253,"alewife","P915",0
"274",2015,283,"alewife","P915",0
"275",2015,253,"alewife","P915",0
"276",2016,283,"alewife","P915",0
"277",2016,253,"alewife","P915",0
"278",2017,253,"alewife","P915",0
"279",2017,283,"alewife","P915",0
"280",2018,253,"alewife","P915",0
"281",2018,283,"alewife","P915",0
"282",2019,283,"alewife","P915",0
"283",2019,253,"alewife","P915",0
"284",2008,253,"alewife","P915",0
"285",2008,283,"alewife","P915",0
"286",2009,283,"alewife","P915",0
"287",2009,253,"alewife","P915",0
"288",2010,526,"alewife","P915",0
"289",2010,500,"alewife","P915",0
"290",2010,530,"alewife","P915",0
"291",2010,527,"alewife","P915",0
"292",2010,499,"alewife","P915",0
"293",2010,560,"alewife","P915",0
"294",2011,499,"alewife","P915",0
"295",2011,529,"alewife","P915",0
"296",2011,527,"alewife","P915",0
"297",2011,528,"alewife","P915",0
"298",2011,526,"alewife","P915",0
"299",2012,527,"alewife","P915",0
"300",2012,530,"alewife","P915",0
"301",2012,498,"alewife","P915",0
"302",2012,529,"alewife","P915",0
"303",2012,528,"alewife","P915",0
"304",2012,526,"alewife","P915",0
"305",2012,499,"alewife","P915",0
"306",2013,499,"alewife","P915",0
"307",2013,560,"alewife","P915",0
"308",2013,527,"alewife","P915",0
"309",2013,498,"alewife","P915",0
"310",2013,530,"alewife","P915",0
"311",2014,530,"alewife","P915",0
"312",2014,526,"alewife","P915",0
"313",2014,498,"alewife","P915",0
"314",2014,499,"alewife","P915",0
"315",2015,559,"alewife","P915",0
"316",2015,527,"alewife","P915",0
"317",2015,497,"alewife","P915",0
"318",2015,499,"alewife","P915",0
"319",2015,560,"alewife","P915",0
"320",2015,526,"alewife","P915",0
"321",2015,498,"alewife","P915",0
"322",2016,560,"alewife","P915",0
"323",2016,526,"alewife","P915",0
"324",2016,529,"alewife","P915",0
"325",2016,499,"alewife","P915",0
"326",2016,527,"alewife","P915",0
"327",2016,498,"alewife","P915",0
"328",2017,498,"alewife","P915",0
"329",2017,527,"alewife","P915",0
"330",2017,529,"alewife","P915",0
"331",2017,526,"alewife","P915",0
"332",2017,560,"alewife","P915",0
"333",2018,498,"alewife","P915",0
"334",2018,526,"alewife","P915",0
"335",2018,530,"alewife","P915",0
"336",2018,528,"alewife","P915",0
"337",2019,528,"alewife","P915",0
"338",2019,498,"alewife","P915",0
"339",2019,529,"alewife","P915",0
"340",2019,526,"alewife","P915",0
"341",2019,497,"alewife","P915",0
"342",2019,499,"alewife","P915",0
"343",2019,560,"alewife","P915",0
"344",2019,527,"alewife","P915",0
"345",2004,526,"alewife","P915",0
"346",2004,527,"alewife","P915",0
"347",2004,499,"alewife","P915",0
"348",2004,530,"alewife","P915",0
"349",2005,499,"alewife","P915",0
"350",2005,529,"alewife","P915",0
"351",2005,527,"alewife","P915",0
"352",2005,526,"alewife","P915",0
"353",2005,528,"alewife","P915",0
"354",2005,530,"alewife","P915",0
"355",2005,498,"alewife","P915",0
"356",2006,499,"alewife","P915",0
"357",2006,530,"alewife","P915",0
"358",2006,527,"alewife","P915",0
"359",2006,498,"alewife","P915",0
"360",2006,560,"alewife","P915",0
"361",2006,526,"alewife","P915",0
"362",2006,528,"alewife","P915",0
"363",2007,499,"alewife","P915",0
"364",2007,530,"alewife","P915",0
"365",2007,526,"alewife","P915",0
"366",2007,497,"alewife","P915",0
"367",2007,529,"alewife","P915",0
"368",2007,528,"alewife","P915",0
"369",2008,496,"alewife","P915",0
"370",2008,529,"alewife","P915",0
"371",2008,498,"alewife","P915",0
"372",2008,528,"alewife","P915",0
"373",2008,526,"alewife","P915",0
"374",2008,530,"alewife","P915",0
"375",2008,499,"alewife","P915",0
"376",2009,559,"alewife","P915",0
"377",2009,527,"alewife","P915",0
"378",2009,498,"alewife","P915",0
"379",2009,499,"alewife","P915",0
"380",2009,530,"alewife","P915",0
"381",2009,526,"alewife","P915",0
"382",2004,528,"alewife","P915",0
"383",2004,498,"alewife","P915",0
"384",2010,504,"alewife","P915",0
"385",2010,501,"alewife","P915",0
"386",2010,472,"alewife","P915",0
"387",2010,566,"alewife","P915",0
"388",2010,565,"alewife","P915",0
"389",2010,502,"alewife","P915",0
"390",2011,504,"alewife","P915",0
"391",2011,596,"alewife","P915",0
"392",2011,501,"alewife","P915",0
"393",2011,473,"alewife","P915",0
"394",2011,566,"alewife","P915",0
"395",2011,503,"alewife","P915",0
"396",2012,531,"alewife","P915",0
"397",2012,535,"alewife","P915",0
"398",2012,565,"alewife","P915",0
"399",2012,504,"alewife","P915",0
"400",2012,502,"alewife","P915",0
"401",2012,595,"alewife","P915",0
"402",2012,501,"alewife","P915",0
"403",2013,501,"alewife","P915",0
"404",2013,502,"alewife","P915",0
"405",2013,504,"alewife","P915",0
"406",2013,596,"alewife","P915",0
"407",2013,565,"alewife","P915",0
"408",2013,566,"alewife","P915",0
"409",2014,502,"alewife","P915",0
"410",2014,565,"alewife","P915",0
"411",2014,501,"alewife","P915",0
"412",2014,504,"alewife","P915",0
"413",2014,531,"alewife","P915",0
"414",2015,565,"alewife","P915",0
"415",2015,502,"alewife","P915",0
"416",2015,503,"alewife","P915",0
"417",2015,500,"alewife","P915",0
"418",2015,504,"alewife","P915",0
"419",2015,535,"alewife","P915",0
"420",2015,501,"alewife","P915",0
"421",2001,501,"alewife","P915",0
"422",2001,565,"alewife","P915",0
"423",2001,504,"alewife","P915",0
"424",2001,596,"alewife","P915",0
"425",2001,502,"alewife","P915",0
"426",2016,531,"alewife","P915",0
"427",2016,504,"alewife","P915",0
"428",2016,501,"alewife","P915",0
"429",2016,502,"alewife","P915",0
"430",2016,596,"alewife","P915",0
"431",2016,534,"alewife","P915",0
"432",2017,566,"alewife","P915",0
"433",2017,500,"alewife","P915",0
"434",2017,502,"alewife","P915",0
"435",2017,501,"alewife","P915",0
"436",2017,565,"alewife","P915",0
"437",2017,504,"alewife","P915",0
"438",2017,496,"alewife","P915",0
"439",2018,501,"alewife","P915",0
"440",2018,502,"alewife","P915",0
"441",2018,504,"alewife","P915",0
"442",2018,503,"alewife","P915",0
"443",2018,565,"alewife","P915",0
"444",2019,504,"alewife","P915",0
"445",2019,565,"alewife","P915",0
"446",2019,531,"alewife","P915",0
"447",2019,502,"alewife","P915",0
"448",2002,504,"alewife","P915",0
"449",2002,565,"alewife","P915",0
"450",2002,501,"alewife","P915",0
"451",2002,473,"alewife","P915",0
"452",2002,597,"alewife","P915",0
"453",2002,502,"alewife","P915",0
"454",2003,504,"alewife","P915",0
"455",2003,596,"alewife","P915",0
"456",2003,500,"alewife","P915",0
"457",2003,503,"alewife","P915",0
"458",2003,597,"alewife","P915",0
"459",2003,501,"alewife","P915",0
"460",2003,502,"alewife","P915",0
"461",2004,504,"alewife","P915",0
"462",2004,566,"alewife","P915",0
"463",2004,531,"alewife","P915",0
"464",2004,472,"alewife","P915",0
"465",2004,597,"alewife","P915",0
"466",2004,500,"alewife","P915",0
"467",2004,502,"alewife","P915",0
"468",2005,502,"alewife","P915",0
"469",2005,504,"alewife","P915",0
"470",2005,595,"alewife","P915",0
"471",2005,501,"alewife","P915",0
"472",2005,503,"alewife","P915",0
"473",2005,534,"alewife","P915",0
"474",2005,566,"alewife","P915",0
"475",2006,565,"alewife","P915",0
"476",2006,502,"alewife","P915",0
"477",2006,504,"alewife","P915",0
"478",2006,595,"alewife","P915",0
"479",2006,501,"alewife","P915",0
"480",2006,500,"alewife","P915",0
"481",2007,504,"alewife","P915",0
"482",2007,566,"alewife","P915",0
"483",2007,531,"alewife","P915",0
"484",2007,502,"alewife","P915",0
"485",2007,595,"alewife","P915",0
"486",2007,501,"alewife","P915",0
"487",2007,503,"alewife","P915",0
"488",2008,504,"alewife","P915",0
"489",2008,597,"alewife","P915",0
"490",2008,501,"alewife","P915",0
"491",2008,472,"alewife","P915",0
"492",2008,534,"alewife","P915",0
"493",2008,595,"alewife","P915",0
"494",2008,503,"alewife","P915",0
"495",2009,504,"alewife","P915",0
"496",2009,595,"alewife","P915",0
"497",2009,501,"alewife","P915",0
"498",2009,472,"alewife","P915",0
"499",2009,596,"alewife","P915",0
"500",2009,502,"alewife","P915",0
"501",2013,595,"alewife","P915",0
"502",2001,597,"alewife","P915",0
"503",2001,472,"alewife","P915",0
"504",2017,535,"alewife","P915",0
"505",2003,473,"alewife","P915",0
"506",2005,565,"alewife","P915",0
"507",2007,565,"alewife","P915",0
"508",2008,565,"alewife","P915",0
"509",2009,565,"alewife","P915",0
"510",2009,597,"alewife","P915",0
"511",2010,69,"american shad","P915",0
"512",2010,38,"american shad","P915",0
"513",2010,99,"american shad","P915",0
"514",2010,68,"american shad","P915",0
"515",2011,38,"american shad","P915",0
"516",2011,8,"american shad","P915",0
"517",2011,98,"american shad","P915",0
"518",2012,98,"american shad","P915",0
"519",2012,99,"american shad","P915",0
"520",2012,68,"american shad","P915",0
"521",2012,69,"american shad","P915",0
"522",2013,98,"american shad","P915",0
"523",2013,69,"american shad","P915",0
"524",2014,69,"american shad","P915",0
"525",2014,98,"american shad","P915",0
"526",2015,98,"american shad","P915",0
"527",2015,38,"american shad","P915",0
"528",2015,69,"american shad","P915",0
"529",2016,99,"american shad","P915",0
"530",2016,69,"american shad","P915",0
"531",2016,68,"american shad","P915",0
"532",2017,69,"american shad","P915",0
"533",2017,98,"american shad","P915",0
"534",2018,68,"american shad","P915",0
"535",2018,38,"american shad","P915",0
"536",2018,98,"american shad","P915",0
"537",2019,68,"american shad","P915",0
"538",2019,98,"american shad","P915",0
"539",2008,38,"american shad","P915",0
"540",2008,99,"american shad","P915",0
"541",2008,39,"american shad","P915",0
"542",2009,68,"american shad","P915",0
"543",2009,98,"american shad","P915",0
"544",2010,628,"american shad","P915",0
"545",2010,508,"american shad","P915",0
"546",2010,539,"american shad","P915",0
"547",2010,446,"american shad","P915",0
"548",2010,415,"american shad","P915",0
"549",2010,509,"american shad","P915",0
"550",2010,478,"american shad","P915",0
"551",2011,415,"american shad","P915",0
"552",2011,478,"american shad","P915",0
"553",2011,445,"american shad","P915",0
"554",2011,658,"american shad","P915",0
"555",2011,539,"american shad","P915",0
"556",2011,508,"american shad","P915",0
"557",2011,569,"american shad","P915",0
"558",2011,598,"american shad","P915",0
"559",2012,478,"american shad","P915",0
"560",2012,569,"american shad","P915",0
"561",2012,477,"american shad","P915",0
"562",2012,445,"american shad","P915",0
"563",2012,509,"american shad","P915",0
"564",2012,447,"american shad","P915",0
"565",2013,447,"american shad","P915",0
"566",2013,538,"american shad","P915",0
"567",2013,478,"american shad","P915",0
"568",2013,445,"american shad","P915",0
"569",2013,539,"american shad","P915",0
"570",2013,508,"american shad","P915",0
"571",2014,446,"american shad","P915",0
"572",2014,478,"american shad","P915",0
"573",2014,538,"american shad","P915",0
"574",2014,508,"american shad","P915",0
"575",2014,509,"american shad","P915",0
"576",2015,478,"american shad","P915",0
"577",2015,446,"american shad","P915",0
"578",2015,415,"american shad","P915",0
"579",2015,569,"american shad","P915",0
"580",2001,628,"american shad","P915",0
"581",2001,447,"american shad","P915",0
"582",2001,446,"american shad","P915",0
"583",2001,569,"american shad","P915",0
"584",2001,508,"american shad","P915",0
"585",2001,598,"american shad","P915",0
"586",2001,478,"american shad","P915",0
"587",2016,478,"american shad","P915",0
"588",2016,539,"american shad","P915",0
"589",2016,509,"american shad","P915",0
"590",2016,446,"american shad","P915",0
"591",2017,477,"american shad","P915",0
"592",2017,446,"american shad","P915",0
"593",2017,447,"american shad","P915",0
"594",2017,508,"american shad","P915",0
"595",2017,509,"american shad","P915",0
"596",2018,447,"american shad","P915",0
"597",2018,569,"american shad","P915",0
"598",2019,446,"american shad","P915",0
"599",2019,447,"american shad","P915",0
"600",2019,415,"american shad","P915",0
"601",2019,508,"american shad","P915",0
"602",2019,569,"american shad","P915",0
"603",2002,477,"american shad","P915",0
"604",2002,415,"american shad","P915",0
"605",2002,599,"american shad","P915",0
"606",2002,478,"american shad","P915",0
"607",2002,538,"american shad","P915",0
"608",2002,445,"american shad","P915",0
"609",2002,508,"american shad","P915",0
"610",2002,628,"american shad","P915",0
"611",2003,508,"american shad","P915",0
"612",2003,415,"american shad","P915",0
"613",2003,447,"american shad","P915",0
"614",2003,446,"american shad","P915",0
"615",2003,628,"american shad","P915",0
"616",2003,539,"american shad","P915",0
"617",2003,658,"american shad","P915",0
"618",2003,478,"american shad","P915",0
"619",2004,414,"american shad","P915",0
"620",2004,478,"american shad","P915",0
"621",2004,598,"american shad","P915",0
"622",2004,568,"american shad","P915",0
"623",2004,447,"american shad","P915",0
"624",2004,508,"american shad","P915",0
"625",2005,628,"american shad","P915",0
"626",2005,508,"american shad","P915",0
"627",2005,569,"american shad","P915",0
"628",2005,538,"american shad","P915",0
"629",2005,446,"american shad","P915",0
"630",2005,445,"american shad","P915",0
"631",2005,447,"american shad","P915",0
"632",2005,509,"american shad","P915",0
"633",2006,477,"american shad","P915",0
"634",2006,447,"american shad","P915",0
"635",2006,568,"american shad","P915",0
"636",2006,569,"american shad","P915",0
"637",2006,628,"american shad","P915",0
"638",2006,539,"american shad","P915",0
"639",2006,478,"american shad","P915",0
"640",2007,509,"american shad","P915",0
"641",2007,598,"american shad","P915",0
"642",2007,446,"american shad","P915",0
"643",2007,477,"american shad","P915",0
"644",2007,569,"american shad","P915",0
"645",2008,509,"american shad","P915",0
"646",2008,447,"american shad","P915",0
"647",2008,478,"american shad","P915",0
"648",2008,598,"american shad","P915",0
"649",2008,628,"american shad","P915",0
"650",2008,415,"american shad","P915",0
"651",2008,569,"american shad","P915",0
"652",2009,508,"american shad","P915",0
"653",2009,598,"american shad","P915",0
"654",2009,447,"american shad","P915",0
"655",2009,569,"american shad","P915",0
"656",2009,446,"american shad","P915",0
"657",2009,628,"american shad","P915",0
"658",2009,478,"american shad","P915",0
"659",2010,538,"american shad","P915",0
"660",2011,538,"american shad","P915",0
"661",2012,568,"american shad","P915",0
"662",2013,477,"american shad","P915",0
"663",2013,446,"american shad","P915",0
"664",2015,538,"american shad","P915",0
"665",2001,568,"american shad","P915",0
"666",2016,538,"american shad","P915",0
"667",2016,508,"american shad","P915",0
"668",2018,568,"american shad","P915",0
"669",2018,477,"american shad","P915",0
"670",2002,598,"american shad","P915",0
"671",2002,657,"american shad","P915",0
"672",2003,445,"american shad","P915",0
"673",2003,568,"american shad","P915",0
"674",2004,444,"american shad","P915",0
"675",2004,569,"american shad","P915",0
"676",2006,476,"american shad","P915",0
"677",2006,538,"american shad","P915",0
"678",2007,508,"american shad","P915",0
"679",2007,568,"american shad","P915",0
"680",2007,476,"american shad","P915",0
"681",2008,477,"american shad","P915",0
"682",2018,286,"american shad","P915",0
"683",2018,321,"american shad","P915",0
"684",2018,383,"american shad","P915",0
"685",2018,288,"american shad","P915",0
"686",2018,381,"american shad","P915",0
"687",2018,352,"american shad","P915",0
"688",2019,319,"american shad","P915",0
"689",2019,285,"american shad","P915",0
"690",2019,353,"american shad","P915",0
"691",2019,321,"american shad","P915",0
"692",2019,288,"american shad","P915",0
"693",2019,351,"american shad","P915",0
"694",2010,406,"american shad","P915",0
"695",2010,377,"american shad","P915",0
"696",2010,348,"american shad","P915",0
"697",2010,376,"american shad","P915",0.000499001996007984
"698",2010,378,"american shad","P915",0.000499001996007984
"699",2011,378,"american shad","P915",0
"700",2011,348,"american shad","P915",0
"701",2011,377,"american shad","P915",0.000499001996007984
"702",2011,406,"american shad","P915",0
"703",2011,376,"american shad","P915",0
"704",2011,379,"american shad","P915",0
"705",2012,347,"american shad","P915",0
"706",2012,348,"american shad","P915",0
"707",2012,406,"american shad","P915",0
"708",2012,377,"american shad","P915",0
"709",2012,379,"american shad","P915",0
"710",2012,376,"american shad","P915",0
"711",2013,377,"american shad","P915",0
"712",2013,406,"american shad","P915",0
"713",2013,379,"american shad","P915",0
"714",2013,348,"american shad","P915",0
"715",2014,377,"american shad","P915",0
"716",2014,348,"american shad","P915",0.000332667997338656
"717",2014,406,"american shad","P915",0
"718",2014,376,"american shad","P915",0
"719",2014,379,"american shad","P915",0
"720",2015,379,"american shad","P915",0
"721",2015,348,"american shad","P915",0
"722",2015,377,"american shad","P915",0
"723",2015,406,"american shad","P915",0
"724",2015,407,"american shad","P915",0
"725",2016,379,"american shad","P915",0
"726",2016,406,"american shad","P915",0
"727",2016,376,"american shad","P915",0
"728",2016,377,"american shad","P915",0
"729",2017,379,"american shad","P915",0
"730",2017,406,"american shad","P915",0
"731",2017,407,"american shad","P915",0
"732",2017,377,"american shad","P915",0.000399201596806387
"733",2018,378,"american shad","P915",0
"734",2018,348,"american shad","P915",0
"735",2018,376,"american shad","P915",0
"736",2018,377,"american shad","P915",0
"737",2018,406,"american shad","P915",0.000998003992015968
"738",2019,348,"american shad","P915",0
"739",2019,379,"american shad","P915",0
"740",2019,406,"american shad","P915",0
"741",2019,407,"american shad","P915",0
"742",2019,377,"american shad","P915",0
"743",2004,406,"american shad","P915",0
"744",2004,349,"american shad","P915",0
"745",2004,347,"american shad","P915",0
"746",2004,376,"american shad","P915",0
"747",2004,379,"american shad","P915",0
"748",2005,377,"american shad","P915",0
"749",2005,406,"american shad","P915",0
"750",2005,378,"american shad","P915",0
"751",2005,379,"american shad","P915",0
"752",2005,347,"american shad","P915",0
"753",2006,379,"american shad","P915",0
"754",2006,348,"american shad","P915",0
"755",2006,376,"american shad","P915",0
"756",2006,406,"american shad","P915",0
"757",2007,376,"american shad","P915",0
"758",2007,378,"american shad","P915",0
"759",2007,377,"american shad","P915",0
"760",2007,406,"american shad","P915",0
"761",2008,378,"american shad","P915",0
"762",2008,377,"american shad","P915",0
"763",2008,406,"american shad","P915",0
"764",2008,348,"american shad","P915",0
"765",2009,348,"american shad","P915",0
"766",2009,347,"american shad","P915",0
"767",2009,377,"american shad","P915",0
"768",2009,379,"american shad","P915",0
"769",2009,406,"american shad","P915",0
"770",2010,407,"american shad","P915",0
"771",2015,347,"american shad","P915",0
