,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
13,Striped bass,0.001,0,0,0,0,0,0,0.015,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hickory shad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Southern flounder,0,0,0,0.01,0.001,0.006,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Summer flounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Gulf flounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Spanish mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Black drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Atlantic croaker,0.075,0.63,0,0.01,0.007,0.037,0.048,0.09,0.144,0.09,0.02,0.017,0,0.01,0.111,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Spot,0.075,0.19,0,0.01,0.01,0.065,0.137,0.188,0.178,0.184,0.068,0.031,0.07,0.023,0.437,0.052,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Silver perch,0.029,0.02,0,0,0,0.028,0.039,0.008,0.013,0.012,0,0,0,0,0.08,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,White perch,0.001,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Pigfish,0,0.01,0,0,0,0.008,0,0,0,0,0,0,0,0,0.024,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pinfish,0,0.01,0,0,0,0.033,0.05,0.029,0,0.107,0.044,0,0,0,0.063,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Striped mullet,0.087,0,0,0,0,0,0,0.009,0,0.014,0,0,0.056,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Gizzard shad,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Atlantic menhaden,0.192,0.01,0,0.2,0,0.008,0.23,0.378,0.082,0.26,0.186,0.035,0.573,0.012,0.062,0.021,0,0.081,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Anchovy,0.051,0.01,0,0.1,0.007,0.123,0.022,0,0.278,0.018,0,0,0.017,0.059,0.032,0.181,0,0.184,0,0.013,0,0.37,0.037,0,0.049,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0
30,Silversides,0.017,0,0,0,0,0,0.052,0.024,0,0.034,0,0,0.013,0,0,0,0,0.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Penaeid shrimp,0.003,0,0,0,0.005,0.013,0.019,0,0,0.024,0.031,0.079,0.022,0,0.023,0.015,0.043,0,0.01,0,0,0.01,0.108,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0
32,Blue crabs,0.003,0,0.134,0.08,0.002,0,0.023,0,0.027,0.033,0.295,0.302,0.08,0.017,0,0,0,0,0.024,0.025,0,0,0.022,0,0,0,0,0,0,0,0,0.05,0.01,0,0,0,0,0,0,0
33,Other crabs and shrimp,0.028,0,0.363,0.45,0.045,0.011,0,0,0,0.043,0.151,0,0.032,0.022,0,0,0.056,0,0.034,0,0.095,0.13,0.031,0.033,0,0,0,0,0,0.1,0.45,0.1,0.05,0,0,0,0,0,0,0
34,Polychaetes,0,0,0,0.02,0.029,0.006,0,0,0.027,0.045,0.067,0.246,0.041,0.238,0,0,0,0,0.08,0.547,0.296,0.041,0.136,0.802,0.475,0.02,0,0,0,0,0.05,0,0.05,0.001,0.005,0,0,0,0,0
35,Squid,0,0,0,0.01,0.001,0.066,0,0,0,0,0,0.015,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
36,Mollusks,0,0,0.137,0.1,0.5,0.005,0.008,0,0.017,0,0.014,0.234,0,0,0,0.028,0,0,0.807,0.299,0.36,0.014,0,0.101,0.185,0,0,0,0,0,0.05,0.282,0.2,0,0,0,0,0,0,0
37,Meiofauna,0,0,0,0,0.02,0,0,0,0,0.013,0.052,0,0.075,0.074,0,0.031,0,0,0.029,0,0.099,0.052,0.582,0.064,0.143,0,0,0,0.031,0.05,0.27,0.383,0.31,0.216,0,0,0.1,0.02,0,0
38,Mysids,0,0,0,0,0.042,0,0,0,0.234,0,0,0.041,0,0,0.013,0.613,0,0,0,0.074,0.15,0.366,0.084,0,0.059,0,0,0,0.468,0.1,0.03,0,0.2,0,0,0,0,0,0,0
39,Ichthyoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
40,Zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0.05,0.501,0.71,0.05,0,0.05,0,0.04,0,0.05,0.73,0.97,0.05
41,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.191,0,0.02,0,0,0,0,0,0.98,0.1,0.15,0.03,0.95
42,SAV,0,0,0.036,0,0,0,0.033,0,0,0.098,0.061,0,0,0.04,0.064,0,0.212,0.022,0.016,0.042,0,0.017,0,0,0.072,0.05,0,0,0,0.02,0.03,0,0.05,0,0,0,0.4,0,0,0
43,Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.8,0.759,0,0,0.05,0.185,0.06,0.783,0,0,0.35,0.1,0,0
44,Import ,0.387,0,0.33,0,0.33,0.5,0.33,0.25,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,0,0,0,0
